, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.198573076000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.024158965000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 25098.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 24599.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 18356.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 22808.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 23225.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 22161.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 24542.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 22406.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 21570.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 22574.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 23675.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 21612.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 22952.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 22971.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 24943.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 26269.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 23530.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 20048.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 24716.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 23432.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 26484.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 22008.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 27749.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 25378.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 25226.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 24491.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 23270.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 22135.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 21925.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 23576.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 24916.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 26617.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 21098.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 20412.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 18595.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 21909.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 22113.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 24000.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 21322.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 20599.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 22444.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 26461.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 26752.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 25420.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 22614.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 24157.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 20741.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 26325.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 24279.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 24849.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 25294.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 22631.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 24434.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 24063.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 25245.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 25292.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 23052.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 22219.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 26457.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 25746.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 24071.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 22206.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 26262.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 17959.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 19961.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 25592.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 22691.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 19963.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 22076.000000000000
73, GPU1.chiplet_02.SA_01.CU_01, inst_count, 21634.000000000000
74, GPU1.chiplet_02.SA_01.CU_02, inst_count, 21854.000000000000
75, GPU1.chiplet_02.SA_01.CU_03, inst_count, 24104.000000000000
76, GPU1.chiplet_02.SA_02.CU_00, inst_count, 21222.000000000000
77, GPU1.chiplet_02.SA_02.CU_01, inst_count, 26022.000000000000
78, GPU1.chiplet_02.SA_02.CU_02, inst_count, 22088.000000000000
79, GPU1.chiplet_02.SA_02.CU_03, inst_count, 22061.000000000000
80, GPU1.chiplet_02.SA_03.CU_00, inst_count, 24026.000000000000
81, GPU1.chiplet_02.SA_03.CU_01, inst_count, 23721.000000000000
82, GPU1.chiplet_02.SA_03.CU_02, inst_count, 23570.000000000000
83, GPU1.chiplet_02.SA_03.CU_03, inst_count, 20867.000000000000
84, GPU1.chiplet_02.SA_04.CU_00, inst_count, 25089.000000000000
85, GPU1.chiplet_02.SA_04.CU_01, inst_count, 23426.000000000000
86, GPU1.chiplet_02.SA_04.CU_02, inst_count, 27737.000000000000
87, GPU1.chiplet_02.SA_04.CU_03, inst_count, 25479.000000000000
88, GPU1.chiplet_02.SA_05.CU_00, inst_count, 23103.000000000000
89, GPU1.chiplet_02.SA_05.CU_01, inst_count, 26620.000000000000
90, GPU1.chiplet_02.SA_05.CU_02, inst_count, 24254.000000000000
91, GPU1.chiplet_02.SA_05.CU_03, inst_count, 23335.000000000000
92, GPU1.chiplet_02.SA_06.CU_00, inst_count, 26214.000000000000
93, GPU1.chiplet_02.SA_06.CU_01, inst_count, 25109.000000000000
94, GPU1.chiplet_02.SA_06.CU_02, inst_count, 23172.000000000000
95, GPU1.chiplet_02.SA_06.CU_03, inst_count, 18996.000000000000
96, GPU1.chiplet_02.SA_07.CU_00, inst_count, 22003.000000000000
97, GPU1.chiplet_02.SA_07.CU_01, inst_count, 25912.000000000000
98, GPU1.chiplet_02.SA_07.CU_02, inst_count, 24901.000000000000
99, GPU1.chiplet_02.SA_07.CU_03, inst_count, 23012.000000000000
100, GPU1.chiplet_03.SA_00.CU_00, inst_count, 18865.000000000000
101, GPU1.chiplet_03.SA_00.CU_01, inst_count, 25001.000000000000
102, GPU1.chiplet_03.SA_00.CU_02, inst_count, 25151.000000000000
103, GPU1.chiplet_03.SA_00.CU_03, inst_count, 21699.000000000000
104, GPU1.chiplet_03.SA_01.CU_00, inst_count, 21294.000000000000
105, GPU1.chiplet_03.SA_01.CU_01, inst_count, 22278.000000000000
106, GPU1.chiplet_03.SA_01.CU_02, inst_count, 26620.000000000000
107, GPU1.chiplet_03.SA_01.CU_03, inst_count, 23042.000000000000
108, GPU1.chiplet_03.SA_02.CU_00, inst_count, 24982.000000000000
109, GPU1.chiplet_03.SA_02.CU_01, inst_count, 20143.000000000000
110, GPU1.chiplet_03.SA_02.CU_02, inst_count, 22759.000000000000
111, GPU1.chiplet_03.SA_02.CU_03, inst_count, 25005.000000000000
112, GPU1.chiplet_03.SA_03.CU_00, inst_count, 24734.000000000000
113, GPU1.chiplet_03.SA_03.CU_01, inst_count, 20569.000000000000
114, GPU1.chiplet_03.SA_03.CU_02, inst_count, 23388.000000000000
115, GPU1.chiplet_03.SA_03.CU_03, inst_count, 23320.000000000000
116, GPU1.chiplet_03.SA_04.CU_00, inst_count, 23717.000000000000
117, GPU1.chiplet_03.SA_04.CU_01, inst_count, 23835.000000000000
118, GPU1.chiplet_03.SA_04.CU_02, inst_count, 21823.000000000000
119, GPU1.chiplet_03.SA_04.CU_03, inst_count, 26229.000000000000
120, GPU1.chiplet_03.SA_05.CU_00, inst_count, 22912.000000000000
121, GPU1.chiplet_03.SA_05.CU_01, inst_count, 21442.000000000000
122, GPU1.chiplet_03.SA_05.CU_02, inst_count, 26046.000000000000
123, GPU1.chiplet_03.SA_05.CU_03, inst_count, 20906.000000000000
124, GPU1.chiplet_03.SA_06.CU_00, inst_count, 26078.000000000000
125, GPU1.chiplet_03.SA_06.CU_01, inst_count, 23354.000000000000
126, GPU1.chiplet_03.SA_06.CU_02, inst_count, 24934.000000000000
127, GPU1.chiplet_03.SA_06.CU_03, inst_count, 19331.000000000000
128, GPU1.chiplet_03.SA_07.CU_00, inst_count, 24524.000000000000
129, GPU1.chiplet_03.SA_07.CU_01, inst_count, 21661.000000000000
130, GPU1.chiplet_03.SA_07.CU_02, inst_count, 25603.000000000000
131, GPU1.chiplet_03.SA_07.CU_03, inst_count, 24657.000000000000
132, GPU1.chiplet_00.SA_00.CU_00, last_WG_finish_time, 0.198568835000
133, GPU1.chiplet_00.SA_00.CU_01, last_WG_finish_time, 0.198285206000
134, GPU1.chiplet_00.SA_00.CU_02, last_WG_finish_time, 0.198571689000
135, GPU1.chiplet_00.SA_00.CU_03, last_WG_finish_time, 0.198571241000
136, GPU1.chiplet_00.SA_01.CU_00, last_WG_finish_time, 0.198573075000
137, GPU1.chiplet_00.SA_01.CU_01, last_WG_finish_time, 0.198547742000
138, GPU1.chiplet_00.SA_01.CU_02, last_WG_finish_time, 0.198391999000
139, GPU1.chiplet_00.SA_01.CU_03, last_WG_finish_time, 0.198568036000
140, GPU1.chiplet_00.SA_02.CU_00, last_WG_finish_time, 0.198326796000
141, GPU1.chiplet_00.SA_02.CU_01, last_WG_finish_time, 0.198567674000
142, GPU1.chiplet_00.SA_02.CU_02, last_WG_finish_time, 0.198542313000
143, GPU1.chiplet_00.SA_02.CU_03, last_WG_finish_time, 0.198571342000
144, GPU1.chiplet_00.SA_03.CU_00, last_WG_finish_time, 0.198566928000
145, GPU1.chiplet_00.SA_03.CU_01, last_WG_finish_time, 0.198297538000
146, GPU1.chiplet_00.SA_03.CU_02, last_WG_finish_time, 0.198572042000
147, GPU1.chiplet_00.SA_03.CU_03, last_WG_finish_time, 0.198572774000
148, GPU1.chiplet_00.SA_04.CU_00, last_WG_finish_time, 0.198544733000
149, GPU1.chiplet_00.SA_04.CU_01, last_WG_finish_time, 0.198397240000
150, GPU1.chiplet_00.SA_04.CU_02, last_WG_finish_time, 0.198229808000
151, GPU1.chiplet_00.SA_04.CU_03, last_WG_finish_time, 0.198571374000
152, GPU1.chiplet_00.SA_05.CU_00, last_WG_finish_time, 0.198309478000
153, GPU1.chiplet_00.SA_05.CU_01, last_WG_finish_time, 0.198571984000
154, GPU1.chiplet_00.SA_05.CU_02, last_WG_finish_time, 0.198567345000
155, GPU1.chiplet_00.SA_05.CU_03, last_WG_finish_time, 0.198567874000
156, GPU1.chiplet_00.SA_06.CU_00, last_WG_finish_time, 0.198571362000
157, GPU1.chiplet_00.SA_06.CU_01, last_WG_finish_time, 0.198572496000
158, GPU1.chiplet_00.SA_06.CU_02, last_WG_finish_time, 0.198561881000
159, GPU1.chiplet_00.SA_06.CU_03, last_WG_finish_time, 0.198238765000
160, GPU1.chiplet_00.SA_07.CU_00, last_WG_finish_time, 0.198362412000
161, GPU1.chiplet_00.SA_07.CU_01, last_WG_finish_time, 0.198231657000
162, GPU1.chiplet_00.SA_07.CU_02, last_WG_finish_time, 0.198568007000
163, GPU1.chiplet_00.SA_07.CU_03, last_WG_finish_time, 0.198572562000
164, GPU1.chiplet_01.SA_00.CU_00, last_WG_finish_time, 0.198572810000
165, GPU1.chiplet_01.SA_00.CU_01, last_WG_finish_time, 0.198534439000
166, GPU1.chiplet_01.SA_00.CU_02, last_WG_finish_time, 0.198569685000
167, GPU1.chiplet_01.SA_00.CU_03, last_WG_finish_time, 0.198569853000
168, GPU1.chiplet_01.SA_01.CU_00, last_WG_finish_time, 0.198473240000
169, GPU1.chiplet_01.SA_01.CU_01, last_WG_finish_time, 0.198365821000
170, GPU1.chiplet_01.SA_01.CU_02, last_WG_finish_time, 0.198550367000
171, GPU1.chiplet_01.SA_01.CU_03, last_WG_finish_time, 0.198569243000
172, GPU1.chiplet_01.SA_02.CU_00, last_WG_finish_time, 0.198570039000
173, GPU1.chiplet_01.SA_02.CU_01, last_WG_finish_time, 0.198570507000
174, GPU1.chiplet_01.SA_02.CU_02, last_WG_finish_time, 0.198541326000
175, GPU1.chiplet_01.SA_02.CU_03, last_WG_finish_time, 0.198570782000
176, GPU1.chiplet_01.SA_03.CU_00, last_WG_finish_time, 0.198542039000
177, GPU1.chiplet_01.SA_03.CU_01, last_WG_finish_time, 0.198328081000
178, GPU1.chiplet_01.SA_03.CU_02, last_WG_finish_time, 0.198565185000
179, GPU1.chiplet_01.SA_03.CU_03, last_WG_finish_time, 0.198393782000
180, GPU1.chiplet_01.SA_04.CU_00, last_WG_finish_time, 0.198566455000
