, where, what, value
0, driver, kernel_time, 0.009225733000
1, driver, total_time, 0.227069034000
2, driver, kernel_time 0, 0.009225733000
3, GPU1.CommandProcessor, kernel_time, 0.009225144000
4, GPU1.CommandProcessor, kernel_time 0, 0.009225733000
5, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.096260664000
6, GPU1.chiplet_00.SA_00.CU_00, inst_count, 5285888.000000000000
7, GPU1.chiplet_00.SA_00.CU_01, inst_count, 5236736.000000000000
8, GPU1.chiplet_00.SA_00.CU_02, inst_count, 5246976.000000000000
9, GPU1.chiplet_00.SA_00.CU_03, inst_count, 5234688.000000000000
10, GPU1.chiplet_00.SA_01.CU_00, inst_count, 5218304.000000000000
11, GPU1.chiplet_00.SA_01.CU_01, inst_count, 5222400.000000000000
12, GPU1.chiplet_00.SA_01.CU_02, inst_count, 5208064.000000000000
13, GPU1.chiplet_00.SA_01.CU_03, inst_count, 5193728.000000000000
14, GPU1.chiplet_00.SA_02.CU_00, inst_count, 5201920.000000000000
15, GPU1.chiplet_00.SA_02.CU_01, inst_count, 5165056.000000000000
16, GPU1.chiplet_00.SA_02.CU_02, inst_count, 5117952.000000000000
17, GPU1.chiplet_00.SA_02.CU_03, inst_count, 5113856.000000000000
18, GPU1.chiplet_00.SA_03.CU_00, inst_count, 5070848.000000000000
19, GPU1.chiplet_00.SA_03.CU_01, inst_count, 5013504.000000000000
20, GPU1.chiplet_00.SA_03.CU_02, inst_count, 4974592.000000000000
21, GPU1.chiplet_00.SA_03.CU_03, inst_count, 4894720.000000000000
22, GPU1.chiplet_00.SA_04.CU_00, inst_count, 4767744.000000000000
23, GPU1.chiplet_00.SA_04.CU_01, inst_count, 4661248.000000000000
24, GPU1.chiplet_00.SA_04.CU_02, inst_count, 4450304.000000000000
25, GPU1.chiplet_00.SA_04.CU_03, inst_count, 4251648.000000000000
26, GPU1.chiplet_00.SA_05.CU_00, inst_count, 3919872.000000000000
27, GPU1.chiplet_00.SA_05.CU_01, inst_count, 3641344.000000000000
28, GPU1.chiplet_00.SA_05.CU_02, inst_count, 3358720.000000000000
29, GPU1.chiplet_00.SA_05.CU_03, inst_count, 3020800.000000000000
30, GPU1.chiplet_00.SA_06.CU_00, inst_count, 2838528.000000000000
31, GPU1.chiplet_00.SA_06.CU_01, inst_count, 2639872.000000000000
32, GPU1.chiplet_00.SA_06.CU_02, inst_count, 2527232.000000000000
33, GPU1.chiplet_00.SA_06.CU_03, inst_count, 2451456.000000000000
34, GPU1.chiplet_00.SA_07.CU_00, inst_count, 2404352.000000000000
35, GPU1.chiplet_00.SA_07.CU_01, inst_count, 2330624.000000000000
36, GPU1.chiplet_00.SA_07.CU_02, inst_count, 2285568.000000000000
37, GPU1.chiplet_00.SA_07.CU_03, inst_count, 2269184.000000000000
38, GPU1.chiplet_01.SA_00.CU_00, inst_count, 6037504.000000000000
39, GPU1.chiplet_01.SA_00.CU_01, inst_count, 5996544.000000000000
40, GPU1.chiplet_01.SA_00.CU_02, inst_count, 5949440.000000000000
41, GPU1.chiplet_01.SA_00.CU_03, inst_count, 5937152.000000000000
42, GPU1.chiplet_01.SA_01.CU_00, inst_count, 5861376.000000000000
43, GPU1.chiplet_01.SA_01.CU_01, inst_count, 5787648.000000000000
44, GPU1.chiplet_01.SA_01.CU_02, inst_count, 5636096.000000000000
45, GPU1.chiplet_01.SA_01.CU_03, inst_count, 5521408.000000000000
46, GPU1.chiplet_01.SA_02.CU_00, inst_count, 5455872.000000000000
47, GPU1.chiplet_01.SA_02.CU_01, inst_count, 5289984.000000000000
48, GPU1.chiplet_01.SA_02.CU_02, inst_count, 5097472.000000000000
49, GPU1.chiplet_01.SA_02.CU_03, inst_count, 4921344.000000000000
50, GPU1.chiplet_01.SA_03.CU_00, inst_count, 4726784.000000000000
51, GPU1.chiplet_01.SA_03.CU_01, inst_count, 4573184.000000000000
52, GPU1.chiplet_01.SA_03.CU_02, inst_count, 4425728.000000000000
53, GPU1.chiplet_01.SA_03.CU_03, inst_count, 4274176.000000000000
54, GPU1.chiplet_01.SA_04.CU_00, inst_count, 4153344.000000000000
55, GPU1.chiplet_01.SA_04.CU_01, inst_count, 4014080.000000000000
56, GPU1.chiplet_01.SA_04.CU_02, inst_count, 3866624.000000000000
57, GPU1.chiplet_01.SA_04.CU_03, inst_count, 3645440.000000000000
58, GPU1.chiplet_01.SA_05.CU_00, inst_count, 3442688.000000000000
59, GPU1.chiplet_01.SA_05.CU_01, inst_count, 3227648.000000000000
60, GPU1.chiplet_01.SA_05.CU_02, inst_count, 3039232.000000000000
61, GPU1.chiplet_01.SA_05.CU_03, inst_count, 2869248.000000000000
62, GPU1.chiplet_01.SA_06.CU_00, inst_count, 2752512.000000000000
63, GPU1.chiplet_01.SA_06.CU_01, inst_count, 2646016.000000000000
64, GPU1.chiplet_01.SA_06.CU_02, inst_count, 2582528.000000000000
65, GPU1.chiplet_01.SA_06.CU_03, inst_count, 2547712.000000000000
66, GPU1.chiplet_01.SA_07.CU_00, inst_count, 2519040.000000000000
67, GPU1.chiplet_01.SA_07.CU_01, inst_count, 2476032.000000000000
68, GPU1.chiplet_01.SA_07.CU_02, inst_count, 2476032.000000000000
69, GPU1.chiplet_01.SA_07.CU_03, inst_count, 2467840.000000000000
70, GPU1.chiplet_02.SA_00.CU_00, inst_count, 6905856.000000000000
71, GPU1.chiplet_02.SA_00.CU_01, inst_count, 6891520.000000000000
72, GPU1.chiplet_02.SA_00.CU_02, inst_count, 6817792.000000000000
73, GPU1.chiplet_02.SA_00.CU_03, inst_count, 6639616.000000000000
74, GPU1.chiplet_02.SA_01.CU_00, inst_count, 6422528.000000000000
75, GPU1.chiplet_02.SA_01.CU_01, inst_count, 6113280.000000000000
76, GPU1.chiplet_02.SA_01.CU_02, inst_count, 5675008.000000000000
77, GPU1.chiplet_02.SA_01.CU_03, inst_count, 5328896.000000000000
78, GPU1.chiplet_02.SA_02.CU_00, inst_count, 5103616.000000000000
79, GPU1.chiplet_02.SA_02.CU_01, inst_count, 4960256.000000000000
80, GPU1.chiplet_02.SA_02.CU_02, inst_count, 4835328.000000000000
81, GPU1.chiplet_02.SA_02.CU_03, inst_count, 4712448.000000000000
82, GPU1.chiplet_02.SA_03.CU_00, inst_count, 4632576.000000000000
83, GPU1.chiplet_02.SA_03.CU_01, inst_count, 4468736.000000000000
84, GPU1.chiplet_02.SA_03.CU_02, inst_count, 4249600.000000000000
85, GPU1.chiplet_02.SA_03.CU_03, inst_count, 4089856.000000000000
86, GPU1.chiplet_02.SA_04.CU_00, inst_count, 3864576.000000000000
87, GPU1.chiplet_02.SA_04.CU_01, inst_count, 3667968.000000000000
88, GPU1.chiplet_02.SA_04.CU_02, inst_count, 3463168.000000000000
89, GPU1.chiplet_02.SA_04.CU_03, inst_count, 3293184.000000000000
90, GPU1.chiplet_02.SA_05.CU_00, inst_count, 3121152.000000000000
91, GPU1.chiplet_02.SA_05.CU_01, inst_count, 2998272.000000000000
92, GPU1.chiplet_02.SA_05.CU_02, inst_count, 2865152.000000000000
93, GPU1.chiplet_02.SA_05.CU_03, inst_count, 2756608.000000000000
94, GPU1.chiplet_02.SA_06.CU_00, inst_count, 2686976.000000000000
95, GPU1.chiplet_02.SA_06.CU_01, inst_count, 2621440.000000000000
96, GPU1.chiplet_02.SA_06.CU_02, inst_count, 2570240.000000000000
97, GPU1.chiplet_02.SA_06.CU_03, inst_count, 2541568.000000000000
98, GPU1.chiplet_02.SA_07.CU_00, inst_count, 2519040.000000000000
99, GPU1.chiplet_02.SA_07.CU_01, inst_count, 2488320.000000000000
100, GPU1.chiplet_02.SA_07.CU_02, inst_count, 2486272.000000000000
101, GPU1.chiplet_02.SA_07.CU_03, inst_count, 2426880.000000000000
102, GPU1.chiplet_03.SA_00.CU_00, inst_count, 7477248.000000000000
103, GPU1.chiplet_03.SA_00.CU_01, inst_count, 7446528.000000000000
104, GPU1.chiplet_03.SA_00.CU_02, inst_count, 7321600.000000000000
105, GPU1.chiplet_03.SA_00.CU_03, inst_count, 7073792.000000000000
106, GPU1.chiplet_03.SA_01.CU_00, inst_count, 6688768.000000000000
107, GPU1.chiplet_03.SA_01.CU_01, inst_count, 6084608.000000000000
108, GPU1.chiplet_03.SA_01.CU_02, inst_count, 5361664.000000000000
109, GPU1.chiplet_03.SA_01.CU_03, inst_count, 4775936.000000000000
110, GPU1.chiplet_03.SA_02.CU_00, inst_count, 4450304.000000000000
111, GPU1.chiplet_03.SA_02.CU_01, inst_count, 4325376.000000000000
112, GPU1.chiplet_03.SA_02.CU_02, inst_count, 4241408.000000000000
113, GPU1.chiplet_03.SA_02.CU_03, inst_count, 4222976.000000000000
114, GPU1.chiplet_03.SA_03.CU_00, inst_count, 4165632.000000000000
115, GPU1.chiplet_03.SA_03.CU_01, inst_count, 4130816.000000000000
116, GPU1.chiplet_03.SA_03.CU_02, inst_count, 4116480.000000000000
117, GPU1.chiplet_03.SA_03.CU_03, inst_count, 4038656.000000000000
