, where, what, value
0, driver, kernel_time, 0.004199573000
1, driver, total_time, 0.157114964000
2, driver, kernel_time 0, 0.002100233000
3, driver, kernel_time 1, 0.002099340000
4, GPU1.CommandProcessor, kernel_time, 0.004198395000
5, GPU1.CommandProcessor, kernel_time 0, 0.002100233000
6, GPU1.CommandProcessor, kernel_time 1, 0.002099340000
7, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.004504184000
8, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.002101560000
9, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1975228.000000000000
10, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1887947.000000000000
11, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1828241.000000000000
12, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1686049.000000000000
13, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1657708.000000000000
14, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1550531.000000000000
15, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1361291.000000000000
16, GPU1.chiplet_00.SA_01.CU_03, inst_count, 979849.000000000000
17, GPU1.chiplet_00.SA_02.CU_00, inst_count, 793147.000000000000
18, GPU1.chiplet_00.SA_02.CU_01, inst_count, 789394.000000000000
19, GPU1.chiplet_00.SA_02.CU_02, inst_count, 774675.000000000000
20, GPU1.chiplet_00.SA_02.CU_03, inst_count, 749886.000000000000
21, GPU1.chiplet_00.SA_03.CU_00, inst_count, 705039.000000000000
22, GPU1.chiplet_00.SA_03.CU_01, inst_count, 689109.000000000000
23, GPU1.chiplet_00.SA_03.CU_02, inst_count, 674016.000000000000
24, GPU1.chiplet_00.SA_03.CU_03, inst_count, 657384.000000000000
25, GPU1.chiplet_00.SA_04.CU_00, inst_count, 633570.000000000000
26, GPU1.chiplet_00.SA_04.CU_01, inst_count, 510018.000000000000
27, GPU1.chiplet_00.SA_04.CU_02, inst_count, 274578.000000000000
28, GPU1.chiplet_00.SA_04.CU_03, inst_count, 80205.000000000000
29, GPU1.chiplet_00.SA_05.CU_00, inst_count, 59901.000000000000
30, GPU1.chiplet_00.SA_05.CU_01, inst_count, 59442.000000000000
31, GPU1.chiplet_00.SA_05.CU_02, inst_count, 59442.000000000000
32, GPU1.chiplet_00.SA_05.CU_03, inst_count, 59442.000000000000
33, GPU1.chiplet_00.SA_06.CU_00, inst_count, 59442.000000000000
34, GPU1.chiplet_00.SA_06.CU_01, inst_count, 59442.000000000000
35, GPU1.chiplet_00.SA_06.CU_02, inst_count, 59415.000000000000
36, GPU1.chiplet_00.SA_06.CU_03, inst_count, 59415.000000000000
37, GPU1.chiplet_00.SA_07.CU_00, inst_count, 59442.000000000000
38, GPU1.chiplet_00.SA_07.CU_01, inst_count, 59442.000000000000
39, GPU1.chiplet_00.SA_07.CU_02, inst_count, 59415.000000000000
40, GPU1.chiplet_00.SA_07.CU_03, inst_count, 59415.000000000000
41, GPU1.chiplet_01.SA_00.CU_00, inst_count, 1807623.000000000000
42, GPU1.chiplet_01.SA_00.CU_01, inst_count, 1766060.000000000000
43, GPU1.chiplet_01.SA_00.CU_02, inst_count, 1699350.000000000000
44, GPU1.chiplet_01.SA_00.CU_03, inst_count, 1640105.000000000000
45, GPU1.chiplet_01.SA_01.CU_00, inst_count, 1589446.000000000000
46, GPU1.chiplet_01.SA_01.CU_01, inst_count, 1477148.000000000000
47, GPU1.chiplet_01.SA_01.CU_02, inst_count, 1245888.000000000000
48, GPU1.chiplet_01.SA_01.CU_03, inst_count, 879649.000000000000
