, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.088884573000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.001508172000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1533263.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1528056.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1500378.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1473334.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1456095.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1420171.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1387312.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1367699.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1326530.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1307643.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1272491.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1270573.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1245163.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1214424.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1191962.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1198178.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1185211.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1174221.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1167663.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1174614.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1146584.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1099213.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1108167.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1137939.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1142725.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1106028.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1134656.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1108718.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1122023.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1118665.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 1122859.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 1112985.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 601969.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 599364.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 602677.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 598403.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 605514.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 595715.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 596369.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 593308.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 588819.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 593510.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 589342.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 582318.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 579279.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 567467.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 572506.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 572003.000000000000
