, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.158896766000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.001622552000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 805348.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 805684.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 800734.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 800588.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 799188.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 796244.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 796220.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 797466.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 794114.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 792889.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 792392.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 792385.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 788790.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 791814.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 786788.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 780727.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 781256.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 781160.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 779402.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 777548.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 774523.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 779925.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 771558.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 771129.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 768949.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 768470.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 763854.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 763223.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 756518.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 757698.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 753077.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 746708.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 798173.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 798913.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 799391.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 798662.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 798786.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 798999.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 797717.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 796424.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 794859.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 791777.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 792543.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 792887.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 786541.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 790251.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 786457.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 784980.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 786021.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 783587.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 780338.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 779633.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 774200.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 774001.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 773971.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 772006.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 767954.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 765841.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 761890.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 759653.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 753948.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 758293.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 750200.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 749703.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 803889.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 801129.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 802132.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 799675.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 795112.000000000000
73, GPU1.chiplet_02.SA_01.CU_01, inst_count, 799052.000000000000
74, GPU1.chiplet_02.SA_01.CU_02, inst_count, 797058.000000000000
75, GPU1.chiplet_02.SA_01.CU_03, inst_count, 798955.000000000000
76, GPU1.chiplet_02.SA_02.CU_00, inst_count, 793972.000000000000
77, GPU1.chiplet_02.SA_02.CU_01, inst_count, 794571.000000000000
78, GPU1.chiplet_02.SA_02.CU_02, inst_count, 789891.000000000000
79, GPU1.chiplet_02.SA_02.CU_03, inst_count, 793067.000000000000
80, GPU1.chiplet_02.SA_03.CU_00, inst_count, 784373.000000000000
81, GPU1.chiplet_02.SA_03.CU_01, inst_count, 784002.000000000000
82, GPU1.chiplet_02.SA_03.CU_02, inst_count, 783651.000000000000
83, GPU1.chiplet_02.SA_03.CU_03, inst_count, 783223.000000000000
84, GPU1.chiplet_02.SA_04.CU_00, inst_count, 786830.000000000000
85, GPU1.chiplet_02.SA_04.CU_01, inst_count, 781295.000000000000
86, GPU1.chiplet_02.SA_04.CU_02, inst_count, 779934.000000000000
87, GPU1.chiplet_02.SA_04.CU_03, inst_count, 779474.000000000000
88, GPU1.chiplet_02.SA_05.CU_00, inst_count, 775525.000000000000
89, GPU1.chiplet_02.SA_05.CU_01, inst_count, 774742.000000000000
90, GPU1.chiplet_02.SA_05.CU_02, inst_count, 771996.000000000000
91, GPU1.chiplet_02.SA_05.CU_03, inst_count, 768578.000000000000
92, GPU1.chiplet_02.SA_06.CU_00, inst_count, 769050.000000000000
93, GPU1.chiplet_02.SA_06.CU_01, inst_count, 766375.000000000000
94, GPU1.chiplet_02.SA_06.CU_02, inst_count, 769799.000000000000
95, GPU1.chiplet_02.SA_06.CU_03, inst_count, 758707.000000000000
96, GPU1.chiplet_02.SA_07.CU_00, inst_count, 759576.000000000000
97, GPU1.chiplet_02.SA_07.CU_01, inst_count, 754741.000000000000
