, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.269544385000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.007932164000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 3630278.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 3305828.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 2955924.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 2578855.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 2298044.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 2109710.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1922583.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1826358.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1701143.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1610874.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1574848.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1498426.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1440199.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1381027.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1316086.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1286726.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1245836.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1165910.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1102871.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1047228.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1020611.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 949496.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 947871.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 901366.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 912279.000000000000
