, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.096685709000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.009479033000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 3322569.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 3049156.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 2673654.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 2307088.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 2023139.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1809083.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1663116.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1563557.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1498290.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1429416.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1365113.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1278361.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1195674.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1093261.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 977795.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 865945.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 775872.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 700169.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 638838.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 612217.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 591944.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 586110.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 575646.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 572350.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 569430.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 573348.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 570946.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 561393.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 564072.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 572441.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 568392.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 566426.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 2778303.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 2512045.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 2230897.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 1960715.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 1683109.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 1457472.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 1308582.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 1178804.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 1058708.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 960580.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 843485.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 739671.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 656324.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 601219.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 534161.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 514893.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 507699.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 487396.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 476816.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 471501.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 479437.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 470903.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 464005.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 455799.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 456734.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 449274.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 464289.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 452594.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 457842.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 449700.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 457845.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 453006.000000000000
