, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.141084284000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.010275950000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1503847.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1504564.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1480023.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1386084.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1508552.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1495502.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1546795.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1423485.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1520205.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1407752.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1454241.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1398881.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1533851.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1419758.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1294616.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1358206.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1349133.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1330035.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1409408.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1253565.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1389366.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1413998.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1349031.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1409267.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1411658.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1339333.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1308007.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1224641.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1394099.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1400942.000000000000
