, where, what, value
0, driver, kernel_time, 0.007686127000
1, driver, total_time, 0.056995921000
2, driver, kernel_time 0, 0.007686127000
3, GPU1.CommandProcessor, kernel_time, 0.007685538000
4, GPU1.CommandProcessor, kernel_time 0, 0.007686127000
5, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.013220588000
6, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.005274772000
7, GPU1.chiplet_00.SA_00.CU_00, inst_count, 158042.000000000000
8, GPU1.chiplet_00.SA_00.CU_01, inst_count, 25185.000000000000
9, GPU1.chiplet_00.SA_00.CU_02, inst_count, 25367.000000000000
10, GPU1.chiplet_00.SA_00.CU_03, inst_count, 25653.000000000000
11, GPU1.chiplet_00.SA_01.CU_00, inst_count, 26119.000000000000
12, GPU1.chiplet_00.SA_01.CU_01, inst_count, 25041.000000000000
13, GPU1.chiplet_00.SA_01.CU_02, inst_count, 25072.000000000000
14, GPU1.chiplet_00.SA_01.CU_03, inst_count, 24258.000000000000
15, GPU1.chiplet_00.SA_02.CU_00, inst_count, 24102.000000000000
16, GPU1.chiplet_00.SA_02.CU_01, inst_count, 24981.000000000000
17, GPU1.chiplet_00.SA_02.CU_02, inst_count, 24028.000000000000
18, GPU1.chiplet_00.SA_02.CU_03, inst_count, 24311.000000000000
19, GPU1.chiplet_00.SA_03.CU_00, inst_count, 24580.000000000000
20, GPU1.chiplet_00.SA_03.CU_01, inst_count, 25123.000000000000
21, GPU1.chiplet_00.SA_03.CU_02, inst_count, 27277.000000000000
22, GPU1.chiplet_00.SA_03.CU_03, inst_count, 26221.000000000000
23, GPU1.chiplet_00.SA_04.CU_00, inst_count, 24712.000000000000
24, GPU1.chiplet_00.SA_04.CU_01, inst_count, 24631.000000000000
25, GPU1.chiplet_00.SA_04.CU_02, inst_count, 24249.000000000000
26, GPU1.chiplet_00.SA_04.CU_03, inst_count, 24898.000000000000
27, GPU1.chiplet_00.SA_05.CU_00, inst_count, 25236.000000000000
28, GPU1.chiplet_00.SA_05.CU_01, inst_count, 25170.000000000000
29, GPU1.chiplet_00.SA_05.CU_02, inst_count, 24297.000000000000
30, GPU1.chiplet_00.SA_05.CU_03, inst_count, 26501.000000000000
31, GPU1.chiplet_00.SA_06.CU_00, inst_count, 25787.000000000000
32, GPU1.chiplet_00.SA_06.CU_01, inst_count, 24960.000000000000
33, GPU1.chiplet_00.SA_06.CU_02, inst_count, 23975.000000000000
34, GPU1.chiplet_00.SA_06.CU_03, inst_count, 24876.000000000000
35, GPU1.chiplet_00.SA_07.CU_00, inst_count, 24451.000000000000
36, GPU1.chiplet_00.SA_07.CU_01, inst_count, 25571.000000000000
37, GPU1.chiplet_00.SA_07.CU_02, inst_count, 25565.000000000000
38, GPU1.chiplet_00.SA_07.CU_03, inst_count, 25367.000000000000
39, GPU1.chiplet_01.SA_00.CU_00, inst_count, 20792.000000000000
40, GPU1.chiplet_01.SA_00.CU_01, inst_count, 20643.000000000000
41, GPU1.chiplet_01.SA_00.CU_02, inst_count, 22026.000000000000
42, GPU1.chiplet_01.SA_00.CU_03, inst_count, 21518.000000000000
43, GPU1.chiplet_01.SA_01.CU_00, inst_count, 22117.000000000000
44, GPU1.chiplet_01.SA_01.CU_01, inst_count, 21374.000000000000
45, GPU1.chiplet_01.SA_01.CU_02, inst_count, 21115.000000000000
46, GPU1.chiplet_01.SA_01.CU_03, inst_count, 22092.000000000000
47, GPU1.chiplet_01.SA_02.CU_00, inst_count, 22943.000000000000
48, GPU1.chiplet_01.SA_02.CU_01, inst_count, 21642.000000000000
49, GPU1.chiplet_01.SA_02.CU_02, inst_count, 22158.000000000000
50, GPU1.chiplet_01.SA_02.CU_03, inst_count, 22497.000000000000
51, GPU1.chiplet_01.SA_03.CU_00, inst_count, 20126.000000000000
52, GPU1.chiplet_01.SA_03.CU_01, inst_count, 21243.000000000000
53, GPU1.chiplet_01.SA_03.CU_02, inst_count, 21951.000000000000
54, GPU1.chiplet_01.SA_03.CU_03, inst_count, 21183.000000000000
55, GPU1.chiplet_01.SA_04.CU_00, inst_count, 22521.000000000000
56, GPU1.chiplet_01.SA_04.CU_01, inst_count, 22263.000000000000
57, GPU1.chiplet_01.SA_04.CU_02, inst_count, 23025.000000000000
58, GPU1.chiplet_01.SA_04.CU_03, inst_count, 20240.000000000000
59, GPU1.chiplet_01.SA_05.CU_00, inst_count, 20796.000000000000
60, GPU1.chiplet_01.SA_05.CU_01, inst_count, 20113.000000000000
61, GPU1.chiplet_01.SA_05.CU_02, inst_count, 21566.000000000000
62, GPU1.chiplet_01.SA_05.CU_03, inst_count, 21524.000000000000
63, GPU1.chiplet_01.SA_06.CU_00, inst_count, 22361.000000000000
64, GPU1.chiplet_01.SA_06.CU_01, inst_count, 20238.000000000000
65, GPU1.chiplet_01.SA_06.CU_02, inst_count, 23006.000000000000
66, GPU1.chiplet_01.SA_06.CU_03, inst_count, 20255.000000000000
67, GPU1.chiplet_01.SA_07.CU_00, inst_count, 21452.000000000000
68, GPU1.chiplet_01.SA_07.CU_01, inst_count, 21794.000000000000
69, GPU1.chiplet_01.SA_07.CU_02, inst_count, 21100.000000000000
70, GPU1.chiplet_01.SA_07.CU_03, inst_count, 20019.000000000000
71, GPU1.chiplet_02.SA_00.CU_00, inst_count, 20135.000000000000
72, GPU1.chiplet_02.SA_00.CU_01, inst_count, 21569.000000000000
73, GPU1.chiplet_02.SA_00.CU_02, inst_count, 22326.000000000000
74, GPU1.chiplet_02.SA_00.CU_03, inst_count, 20665.000000000000
75, GPU1.chiplet_02.SA_01.CU_00, inst_count, 20684.000000000000
76, GPU1.chiplet_02.SA_01.CU_01, inst_count, 21044.000000000000
