, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.102419535000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.004121660000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 71819.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 91614.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 92319.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 100190.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 41817.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 76723.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 76943.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 82424.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 107113.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 108151.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 87578.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 68564.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 104267.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 74070.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 93700.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 74073.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 62497.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 80922.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 55463.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 99710.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 88185.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 97162.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 61028.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 88744.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 85845.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 87054.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 98332.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 57054.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 74804.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 80674.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 58924.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 65528.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 92899.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 78737.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 64628.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 89845.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 66981.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 52397.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 58107.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 104502.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 64788.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 71860.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 47740.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 77998.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 53880.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 41381.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 44208.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 104052.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 107649.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 85359.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 81845.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 94441.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 57280.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 59458.000000000000
