, where, what, value
0, driver, kernel_time, 0.095749462000
1, driver, total_time, 0.612019094000
2, driver, kernel_time 0, 0.000146407000
3, driver, kernel_time 1, 0.000171434000
4, driver, kernel_time 2, 0.000171238000
5, driver, kernel_time 3, 0.000170888000
6, driver, kernel_time 4, 0.000156974000
7, driver, kernel_time 5, 0.000172061000
8, driver, kernel_time 6, 0.000172186000
9, driver, kernel_time 7, 0.000186754000
10, driver, kernel_time 8, 0.000176401000
11, driver, kernel_time 9, 0.000174061000
12, driver, kernel_time 10, 0.000173447000
13, driver, kernel_time 11, 0.000174336000
14, driver, kernel_time 12, 0.000177115000
15, driver, kernel_time 13, 0.000178073000
16, driver, kernel_time 14, 0.000179387000
17, driver, kernel_time 15, 0.000190355000
18, driver, kernel_time 16, 0.000185553000
19, driver, kernel_time 17, 0.000184445000
20, driver, kernel_time 18, 0.000185918000
21, driver, kernel_time 19, 0.000184841000
22, driver, kernel_time 20, 0.000189907000
23, driver, kernel_time 21, 0.000190276000
24, driver, kernel_time 22, 0.000191509000
25, driver, kernel_time 23, 0.000195442000
26, driver, kernel_time 24, 0.000193958000
27, driver, kernel_time 25, 0.000195115000
28, driver, kernel_time 26, 0.000193150000
29, driver, kernel_time 27, 0.000193051000
30, driver, kernel_time 28, 0.000196587000
31, driver, kernel_time 29, 0.000198880000
32, driver, kernel_time 30, 0.000197066000
33, driver, kernel_time 31, 0.000199242000
34, driver, kernel_time 32, 0.000200415000
35, driver, kernel_time 33, 0.000201209000
36, driver, kernel_time 34, 0.000201294000
37, driver, kernel_time 35, 0.000200237000
38, driver, kernel_time 36, 0.000202141000
39, driver, kernel_time 37, 0.000202253000
40, driver, kernel_time 38, 0.000203015000
41, driver, kernel_time 39, 0.000203102000
42, driver, kernel_time 40, 0.000203195000
43, driver, kernel_time 41, 0.000203895000
44, driver, kernel_time 42, 0.000204049000
45, driver, kernel_time 43, 0.000204371000
46, driver, kernel_time 44, 0.000204773000
47, driver, kernel_time 45, 0.000205048000
48, driver, kernel_time 46, 0.000204784000
49, driver, kernel_time 47, 0.000207284000
50, driver, kernel_time 48, 0.000207391000
51, driver, kernel_time 49, 0.000207095000
52, driver, kernel_time 50, 0.000206792000
53, driver, kernel_time 51, 0.000207121000
54, driver, kernel_time 52, 0.000209360000
55, driver, kernel_time 53, 0.000209127000
56, driver, kernel_time 54, 0.000209645000
57, driver, kernel_time 55, 0.000210526000
58, driver, kernel_time 56, 0.000211147000
59, driver, kernel_time 57, 0.000211739000
