, where, what, value
0, driver, kernel_time, 0.005321933000
1, driver, total_time, 0.048938284000
2, driver, kernel_time 0, 0.005321933000
3, GPU1.CommandProcessor, kernel_time, 0.005321344000
4, GPU1.CommandProcessor, kernel_time 0, 0.005321933000
5, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.005326056000
6, GPU1.chiplet_00.SA_00.CU_00, inst_count, 375489.000000000000
7, GPU1.chiplet_00.SA_00.CU_01, inst_count, 324400.000000000000
8, GPU1.chiplet_00.SA_00.CU_02, inst_count, 337295.000000000000
9, GPU1.chiplet_00.SA_00.CU_03, inst_count, 377700.000000000000
10, GPU1.chiplet_00.SA_01.CU_00, inst_count, 324100.000000000000
11, GPU1.chiplet_00.SA_01.CU_01, inst_count, 324300.000000000000
12, GPU1.chiplet_00.SA_01.CU_02, inst_count, 334944.000000000000
13, GPU1.chiplet_00.SA_01.CU_03, inst_count, 324020.000000000000
14, GPU1.chiplet_00.SA_02.CU_00, inst_count, 324160.000000000000
15, GPU1.chiplet_00.SA_02.CU_01, inst_count, 345448.000000000000
16, GPU1.chiplet_00.SA_02.CU_02, inst_count, 389064.000000000000
17, GPU1.chiplet_00.SA_02.CU_03, inst_count, 345868.000000000000
18, GPU1.chiplet_00.SA_03.CU_00, inst_count, 323920.000000000000
19, GPU1.chiplet_00.SA_03.CU_01, inst_count, 324240.000000000000
20, GPU1.chiplet_00.SA_03.CU_02, inst_count, 324040.000000000000
21, GPU1.chiplet_00.SA_03.CU_03, inst_count, 329842.000000000000
22, GPU1.chiplet_00.SA_04.CU_00, inst_count, 388744.000000000000
23, GPU1.chiplet_00.SA_04.CU_01, inst_count, 348259.000000000000
24, GPU1.chiplet_00.SA_04.CU_02, inst_count, 324280.000000000000
25, GPU1.chiplet_00.SA_04.CU_03, inst_count, 337275.000000000000
26, GPU1.chiplet_00.SA_05.CU_00, inst_count, 362074.000000000000
27, GPU1.chiplet_00.SA_05.CU_01, inst_count, 348219.000000000000
28, GPU1.chiplet_00.SA_05.CU_02, inst_count, 364845.000000000000
29, GPU1.chiplet_00.SA_05.CU_03, inst_count, 334704.000000000000
30, GPU1.chiplet_00.SA_06.CU_00, inst_count, 369947.000000000000
31, GPU1.chiplet_00.SA_06.CU_01, inst_count, 380231.000000000000
32, GPU1.chiplet_00.SA_06.CU_02, inst_count, 378420.000000000000
33, GPU1.chiplet_00.SA_06.CU_03, inst_count, 351130.000000000000
34, GPU1.chiplet_00.SA_07.CU_00, inst_count, 324300.000000000000
35, GPU1.chiplet_00.SA_07.CU_01, inst_count, 335024.000000000000
36, GPU1.chiplet_00.SA_07.CU_02, inst_count, 362154.000000000000
37, GPU1.chiplet_00.SA_07.CU_03, inst_count, 324360.000000000000
38, GPU1.chiplet_01.SA_00.CU_00, inst_count, 323820.000000000000
39, GPU1.chiplet_01.SA_00.CU_01, inst_count, 324100.000000000000
40, GPU1.chiplet_01.SA_00.CU_02, inst_count, 329582.000000000000
41, GPU1.chiplet_01.SA_00.CU_03, inst_count, 324000.000000000000
42, GPU1.chiplet_01.SA_01.CU_00, inst_count, 324320.000000000000
43, GPU1.chiplet_01.SA_01.CU_01, inst_count, 324460.000000000000
44, GPU1.chiplet_01.SA_01.CU_02, inst_count, 388964.000000000000
45, GPU1.chiplet_01.SA_01.CU_03, inst_count, 324000.000000000000
46, GPU1.chiplet_01.SA_02.CU_00, inst_count, 364525.000000000000
47, GPU1.chiplet_01.SA_02.CU_01, inst_count, 367316.000000000000
