, where, what, value
0, driver, kernel_time, 0.000167217000
1, driver, total_time, 0.000918195000
2, driver, kernel_time 0, 0.000167217000
3, GPU1.CommandProcessor, kernel_time, 0.000166628000
4, GPU1.CommandProcessor, kernel_time 0, 0.000167217000
5, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000231873000
6, GPU1.chiplet_00.SA_00.CU_00, inst_count, 11852.000000000000
7, GPU1.chiplet_00.SA_00.CU_01, inst_count, 10954.000000000000
8, GPU1.chiplet_00.SA_00.CU_02, inst_count, 11414.000000000000
9, GPU1.chiplet_00.SA_00.CU_03, inst_count, 11554.000000000000
10, GPU1.chiplet_00.SA_01.CU_00, inst_count, 11194.000000000000
11, GPU1.chiplet_00.SA_01.CU_01, inst_count, 12568.000000000000
12, GPU1.chiplet_00.SA_01.CU_02, inst_count, 12430.000000000000
13, GPU1.chiplet_00.SA_01.CU_03, inst_count, 12470.000000000000
14, GPU1.chiplet_00.SA_02.CU_00, inst_count, 11552.000000000000
15, GPU1.chiplet_00.SA_02.CU_01, inst_count, 11612.000000000000
16, GPU1.chiplet_00.SA_02.CU_02, inst_count, 11812.000000000000
17, GPU1.chiplet_00.SA_02.CU_03, inst_count, 12668.000000000000
18, GPU1.chiplet_00.SA_03.CU_00, inst_count, 13086.000000000000
19, GPU1.chiplet_00.SA_03.CU_01, inst_count, 11612.000000000000
20, GPU1.chiplet_00.SA_03.CU_02, inst_count, 11612.000000000000
21, GPU1.chiplet_00.SA_03.CU_03, inst_count, 10676.000000000000
22, GPU1.chiplet_00.SA_04.CU_00, inst_count, 10696.000000000000
23, GPU1.chiplet_00.SA_04.CU_01, inst_count, 12588.000000000000
24, GPU1.chiplet_00.SA_04.CU_02, inst_count, 11512.000000000000
25, GPU1.chiplet_00.SA_04.CU_03, inst_count, 10956.000000000000
26, GPU1.chiplet_00.SA_05.CU_00, inst_count, 11372.000000000000
27, GPU1.chiplet_00.SA_05.CU_01, inst_count, 11214.000000000000
28, GPU1.chiplet_00.SA_05.CU_02, inst_count, 11492.000000000000
29, GPU1.chiplet_00.SA_05.CU_03, inst_count, 11692.000000000000
30, GPU1.chiplet_00.SA_06.CU_00, inst_count, 11952.000000000000
31, GPU1.chiplet_00.SA_06.CU_01, inst_count, 10616.000000000000
32, GPU1.chiplet_00.SA_06.CU_02, inst_count, 11214.000000000000
33, GPU1.chiplet_00.SA_06.CU_03, inst_count, 11234.000000000000
34, GPU1.chiplet_00.SA_07.CU_00, inst_count, 12488.000000000000
35, GPU1.chiplet_00.SA_07.CU_01, inst_count, 10398.000000000000
36, GPU1.chiplet_00.SA_07.CU_02, inst_count, 11174.000000000000
37, GPU1.chiplet_00.SA_07.CU_03, inst_count, 10298.000000000000
38, GPU1.chiplet_01.SA_00.CU_00, inst_count, 12746.000000000000
39, GPU1.chiplet_01.SA_00.CU_01, inst_count, 11732.000000000000
40, GPU1.chiplet_01.SA_00.CU_02, inst_count, 11154.000000000000
41, GPU1.chiplet_01.SA_00.CU_03, inst_count, 12130.000000000000
42, GPU1.chiplet_01.SA_01.CU_00, inst_count, 11512.000000000000
43, GPU1.chiplet_01.SA_01.CU_01, inst_count, 11314.000000000000
44, GPU1.chiplet_01.SA_01.CU_02, inst_count, 12210.000000000000
45, GPU1.chiplet_01.SA_01.CU_03, inst_count, 11632.000000000000
46, GPU1.chiplet_01.SA_02.CU_00, inst_count, 11252.000000000000
47, GPU1.chiplet_01.SA_02.CU_01, inst_count, 10916.000000000000
48, GPU1.chiplet_01.SA_02.CU_02, inst_count, 11412.000000000000
49, GPU1.chiplet_01.SA_02.CU_03, inst_count, 11592.000000000000
50, GPU1.chiplet_01.SA_03.CU_00, inst_count, 10458.000000000000
51, GPU1.chiplet_01.SA_03.CU_01, inst_count, 10896.000000000000
52, GPU1.chiplet_01.SA_03.CU_02, inst_count, 11832.000000000000
53, GPU1.chiplet_01.SA_03.CU_03, inst_count, 10496.000000000000
54, GPU1.chiplet_01.SA_04.CU_00, inst_count, 11014.000000000000
55, GPU1.chiplet_01.SA_04.CU_01, inst_count, 12926.000000000000
56, GPU1.chiplet_01.SA_04.CU_02, inst_count, 11572.000000000000
57, GPU1.chiplet_01.SA_04.CU_03, inst_count, 11234.000000000000
58, GPU1.chiplet_01.SA_05.CU_00, inst_count, 10894.000000000000
59, GPU1.chiplet_01.SA_05.CU_01, inst_count, 12090.000000000000
60, GPU1.chiplet_01.SA_05.CU_02, inst_count, 12828.000000000000
61, GPU1.chiplet_01.SA_05.CU_03, inst_count, 11274.000000000000
62, GPU1.chiplet_01.SA_06.CU_00, inst_count, 11692.000000000000
63, GPU1.chiplet_01.SA_06.CU_01, inst_count, 11034.000000000000
64, GPU1.chiplet_01.SA_06.CU_02, inst_count, 11254.000000000000
65, GPU1.chiplet_01.SA_06.CU_03, inst_count, 10954.000000000000
66, GPU1.chiplet_01.SA_07.CU_00, inst_count, 11632.000000000000
67, GPU1.chiplet_01.SA_07.CU_01, inst_count, 12050.000000000000
68, GPU1.chiplet_01.SA_07.CU_02, inst_count, 10258.000000000000
69, GPU1.chiplet_01.SA_07.CU_03, inst_count, 11492.000000000000
70, GPU1.chiplet_02.SA_00.CU_00, inst_count, 10816.000000000000
71, GPU1.chiplet_02.SA_00.CU_01, inst_count, 10994.000000000000
72, GPU1.chiplet_02.SA_00.CU_02, inst_count, 11134.000000000000
73, GPU1.chiplet_02.SA_00.CU_03, inst_count, 12230.000000000000
74, GPU1.chiplet_02.SA_01.CU_00, inst_count, 11692.000000000000
75, GPU1.chiplet_02.SA_01.CU_01, inst_count, 12648.000000000000
76, GPU1.chiplet_02.SA_01.CU_02, inst_count, 11374.000000000000
77, GPU1.chiplet_02.SA_01.CU_03, inst_count, 12012.000000000000
78, GPU1.chiplet_02.SA_02.CU_00, inst_count, 11252.000000000000
79, GPU1.chiplet_02.SA_02.CU_01, inst_count, 12448.000000000000
80, GPU1.chiplet_02.SA_02.CU_02, inst_count, 11950.000000000000
81, GPU1.chiplet_02.SA_02.CU_03, inst_count, 11932.000000000000
82, GPU1.chiplet_02.SA_03.CU_00, inst_count, 10776.000000000000
83, GPU1.chiplet_02.SA_03.CU_01, inst_count, 9938.000000000000
84, GPU1.chiplet_02.SA_03.CU_02, inst_count, 12090.000000000000
85, GPU1.chiplet_02.SA_03.CU_03, inst_count, 10556.000000000000
86, GPU1.chiplet_02.SA_04.CU_00, inst_count, 11314.000000000000
87, GPU1.chiplet_02.SA_04.CU_01, inst_count, 12050.000000000000
88, GPU1.chiplet_02.SA_04.CU_02, inst_count, 11990.000000000000
89, GPU1.chiplet_02.SA_04.CU_03, inst_count, 10914.000000000000
