, where, what, value
0, driver, kernel_time, 0.002993899000
1, driver, total_time, 0.112996217000
2, driver, kernel_time 0, 0.000914295000
3, driver, kernel_time 1, 0.000716045000
4, driver, kernel_time 2, 0.000526226000
5, driver, kernel_time 3, 0.000837333000
6, GPU1.CommandProcessor, kernel_time, 0.002991543000
7, GPU1.CommandProcessor, kernel_time 0, 0.000914295000
8, GPU1.CommandProcessor, kernel_time 1, 0.000716045000
9, GPU1.CommandProcessor, kernel_time 2, 0.000526226000
10, GPU1.CommandProcessor, kernel_time 3, 0.000837333000
11, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.003903238000
12, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.002685243000
13, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.001665755000
14, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000837334000
15, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1641956.000000000000
16, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1663392.000000000000
17, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1629284.000000000000
18, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1627100.000000000000
19, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1635192.000000000000
20, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1632220.000000000000
21, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1605480.000000000000
22, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1592292.000000000000
23, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1624844.000000000000
24, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1610464.000000000000
25, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1596100.000000000000
26, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1580132.000000000000
27, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1583900.000000000000
28, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1580820.000000000000
29, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1575832.000000000000
30, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1548864.000000000000
31, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1601004.000000000000
32, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1586940.000000000000
33, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1556224.000000000000
34, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1562236.000000000000
35, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1555716.000000000000
36, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1545944.000000000000
37, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1559956.000000000000
38, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1542100.000000000000
39, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1535368.000000000000
40, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1525916.000000000000
41, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1541848.000000000000
42, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1530008.000000000000
43, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1520936.000000000000
44, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1530112.000000000000
45, GPU1.chiplet_00.SA_07.CU_02, inst_count, 1463084.000000000000
46, GPU1.chiplet_00.SA_07.CU_03, inst_count, 1446384.000000000000
47, GPU1.chiplet_01.SA_00.CU_00, inst_count, 1724336.000000000000
48, GPU1.chiplet_01.SA_00.CU_01, inst_count, 1733668.000000000000
49, GPU1.chiplet_01.SA_00.CU_02, inst_count, 1663712.000000000000
50, GPU1.chiplet_01.SA_00.CU_03, inst_count, 1606928.000000000000
51, GPU1.chiplet_01.SA_01.CU_00, inst_count, 1645364.000000000000
52, GPU1.chiplet_01.SA_01.CU_01, inst_count, 1611688.000000000000
53, GPU1.chiplet_01.SA_01.CU_02, inst_count, 1614224.000000000000
54, GPU1.chiplet_01.SA_01.CU_03, inst_count, 1608904.000000000000
55, GPU1.chiplet_01.SA_02.CU_00, inst_count, 1608768.000000000000
56, GPU1.chiplet_01.SA_02.CU_01, inst_count, 1600572.000000000000
57, GPU1.chiplet_01.SA_02.CU_02, inst_count, 1595148.000000000000
58, GPU1.chiplet_01.SA_02.CU_03, inst_count, 1579464.000000000000
59, GPU1.chiplet_01.SA_03.CU_00, inst_count, 1585652.000000000000
60, GPU1.chiplet_01.SA_03.CU_01, inst_count, 1585072.000000000000
61, GPU1.chiplet_01.SA_03.CU_02, inst_count, 1590316.000000000000
62, GPU1.chiplet_01.SA_03.CU_03, inst_count, 1587764.000000000000
63, GPU1.chiplet_01.SA_04.CU_00, inst_count, 1564260.000000000000
64, GPU1.chiplet_01.SA_04.CU_01, inst_count, 1560376.000000000000
65, GPU1.chiplet_01.SA_04.CU_02, inst_count, 1553688.000000000000
66, GPU1.chiplet_01.SA_04.CU_03, inst_count, 1545748.000000000000
67, GPU1.chiplet_01.SA_05.CU_00, inst_count, 1545408.000000000000
68, GPU1.chiplet_01.SA_05.CU_01, inst_count, 1539164.000000000000
69, GPU1.chiplet_01.SA_05.CU_02, inst_count, 1533528.000000000000
70, GPU1.chiplet_01.SA_05.CU_03, inst_count, 1519584.000000000000
71, GPU1.chiplet_01.SA_06.CU_00, inst_count, 1531348.000000000000
72, GPU1.chiplet_01.SA_06.CU_01, inst_count, 1511940.000000000000
73, GPU1.chiplet_01.SA_06.CU_02, inst_count, 1526968.000000000000
74, GPU1.chiplet_01.SA_06.CU_03, inst_count, 1530832.000000000000
75, GPU1.chiplet_01.SA_07.CU_00, inst_count, 1505412.000000000000
76, GPU1.chiplet_01.SA_07.CU_01, inst_count, 1510664.000000000000
77, GPU1.chiplet_01.SA_07.CU_02, inst_count, 1467388.000000000000
78, GPU1.chiplet_01.SA_07.CU_03, inst_count, 1443760.000000000000
79, GPU1.chiplet_02.SA_00.CU_00, inst_count, 1699604.000000000000
80, GPU1.chiplet_02.SA_00.CU_01, inst_count, 1702352.000000000000
81, GPU1.chiplet_02.SA_00.CU_02, inst_count, 1643856.000000000000
82, GPU1.chiplet_02.SA_00.CU_03, inst_count, 1628536.000000000000
83, GPU1.chiplet_02.SA_01.CU_00, inst_count, 1622432.000000000000
84, GPU1.chiplet_02.SA_01.CU_01, inst_count, 1618408.000000000000
85, GPU1.chiplet_02.SA_01.CU_02, inst_count, 1606476.000000000000
86, GPU1.chiplet_02.SA_01.CU_03, inst_count, 1612784.000000000000
