, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.266577471000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.004966547000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 22319.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 20055.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 22577.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 21329.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 20142.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 22002.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 22372.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 20283.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 20653.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 20772.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 21780.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 22439.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 21632.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 22363.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 21105.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 21873.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 22343.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 21870.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 23510.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 23004.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 21474.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 20754.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 23370.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 23036.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 21915.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 22129.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 22800.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 21474.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 22701.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 24020.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 21858.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 21509.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 22335.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 21568.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 21817.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 21815.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 22950.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 22423.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 21608.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 22597.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 22812.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 21334.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 22151.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 22836.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 23320.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 22776.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 20895.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 22759.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 22328.000000000000
